Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Basic,Chrome 62.0.3202.89,,2560-11-09 17:25:55,2560-11-09 17:30:38,4m - 42.691s,FAILED
,,,,,,
Test Cases/1. Start Page (without login)/Single Verbatim without login,Chrome 62.0.3202.89,,2560-11-09 17:25:56,2560-11-09 17:26:41,45.033s,PASSED
openBrowser,Chrome 62.0.3202.89,,2560-11-09 17:25:56,2560-11-09 17:25:59,2.379s,PASSED
maximizeWindow,Chrome 62.0.3202.89,,2560-11-09 17:25:59,2560-11-09 17:25:59,0.218s,PASSED
navigateToUrl,Chrome 62.0.3202.89,,2560-11-09 17:25:59,2560-11-09 17:26:03,3.774s,PASSED
click,Chrome 62.0.3202.89,\u0E01\u0E14\u0E1B\u0E38\u0E48\u0E21 Predict,2560-11-09 17:26:03,2560-11-09 17:26:03,0.260s,PASSED
verifyElementPresent,Chrome 62.0.3202.89,\u0E22\u0E37\u0E19\u0E22\u0E31\u0E19\u0E02\u0E49\u0E2D\u0E04\u0E27\u0E32\u0E21\u0E41\u0E08\u0E49\u0E07\u0E40\u0E15\u0E37\u0E2D\u0E19 Verbatim is not null,2560-11-09 17:26:03,2560-11-09 17:26:03,0.110s,PASSED
setText,Chrome 62.0.3202.89,\u0E01\u0E23\u0E2D\u0E01\u0E02\u0E49\u0E2D\u0E04\u0E27\u0E32\u0E21 predict,2560-11-09 17:26:03,2560-11-09 17:26:03,0.372s,PASSED
click,Chrome 62.0.3202.89,\u0E01\u0E14\u0E1B\u0E38\u0E48\u0E21 Predict,2560-11-09 17:26:03,2560-11-09 17:26:03,0.071s,PASSED
verifyElementPresent,Chrome 62.0.3202.89,\u0E15\u0E23\u0E27\u0E08\u0E2A\u0E2D\u0E1A\u0E1C\u0E25\u0E25\u0E31\u0E1E\u0E18\u0E4C Predict ,2560-11-09 17:26:03,2560-11-09 17:26:22,18.693s,PASSED
verifyElementPresent,Chrome 62.0.3202.89,\u0E15\u0E23\u0E27\u0E08\u0E2A\u0E2D\u0E1A\u0E1C\u0E25\u0E25\u0E31\u0E1E\u0E18\u0E4C Predict ,2560-11-09 17:26:22,2560-11-09 17:26:22,0.098s,PASSED
setText,Chrome 62.0.3202.89,\u0E01\u0E23\u0E2D\u0E01\u0E02\u0E49\u0E2D\u0E04\u0E27\u0E32\u0E21 predict \u0E17\u0E35\u0E48\u0E40\u0E1B\u0E47\u0E19\u0E04\u0E33\u0E2B\u0E22\u0E32\u0E1A,2560-11-09 17:26:22,2560-11-09 17:26:22,0.142s,PASSED
click,Chrome 62.0.3202.89,\u0E01\u0E14\u0E1B\u0E38\u0E48\u0E21 Predict,2560-11-09 17:26:22,2560-11-09 17:26:23,0.101s,PASSED
verifyElementPresent,Chrome 62.0.3202.89,\u0E15\u0E23\u0E27\u0E08\u0E2A\u0E2D\u0E1A\u0E1C\u0E25\u0E25\u0E31\u0E1E\u0E18\u0E4C Predict ,2560-11-09 17:26:23,2560-11-09 17:26:41,18.100s,PASSED
