Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Basic,Chrome 62.0.3202.89,,2017-11-13 12:27:21,2017-11-13 12:32:31,5m - 9.991s,PASSED
,,,,,,
Test Cases/1. Start Page (without login)/Single Verbatim without login,Chrome 62.0.3202.89,,2017-11-13 12:27:21,2017-11-13 12:28:09,47.812s,PASSED
openBrowser,Chrome 62.0.3202.89,,2017-11-13 12:27:22,2017-11-13 12:27:25,2.997s,PASSED
maximizeWindow,Chrome 62.0.3202.89,,2017-11-13 12:27:25,2017-11-13 12:27:26,1.200s,PASSED
navigateToUrl,Chrome 62.0.3202.89,,2017-11-13 12:27:26,2017-11-13 12:27:29,3.173s,PASSED
click,Chrome 62.0.3202.89,\u0E01\u0E14\u0E1B\u0E38\u0E48\u0E21 Predict,2017-11-13 12:27:29,2017-11-13 12:27:30,0.232s,PASSED
verifyElementPresent,Chrome 62.0.3202.89,\u0E22\u0E37\u0E19\u0E22\u0E31\u0E19\u0E02\u0E49\u0E2D\u0E04\u0E27\u0E32\u0E21\u0E41\u0E08\u0E49\u0E07\u0E40\u0E15\u0E37\u0E2D\u0E19 Verbatim is not null,2017-11-13 12:27:30,2017-11-13 12:27:30,0.111s,PASSED
setText,Chrome 62.0.3202.89,\u0E01\u0E23\u0E2D\u0E01\u0E02\u0E49\u0E2D\u0E04\u0E27\u0E32\u0E21 predict,2017-11-13 12:27:30,2017-11-13 12:27:30,0.371s,PASSED
click,Chrome 62.0.3202.89,\u0E01\u0E14\u0E1B\u0E38\u0E48\u0E21 Predict,2017-11-13 12:27:30,2017-11-13 12:27:30,0.089s,PASSED
verifyElementPresent,Chrome 62.0.3202.89,\u0E15\u0E23\u0E27\u0E08\u0E2A\u0E2D\u0E1A\u0E1C\u0E25\u0E25\u0E31\u0E1E\u0E18\u0E4C Predict ,2017-11-13 12:27:30,2017-11-13 12:27:50,19.958s,PASSED
verifyElementPresent,Chrome 62.0.3202.89,\u0E15\u0E23\u0E27\u0E08\u0E2A\u0E2D\u0E1A\u0E1C\u0E25\u0E25\u0E31\u0E1E\u0E18\u0E4C Predict ,2017-11-13 12:27:50,2017-11-13 12:27:50,0.059s,PASSED
setText,Chrome 62.0.3202.89,\u0E01\u0E23\u0E2D\u0E01\u0E02\u0E49\u0E2D\u0E04\u0E27\u0E32\u0E21 predict \u0E17\u0E35\u0E48\u0E40\u0E1B\u0E47\u0E19\u0E04\u0E33\u0E2B\u0E22\u0E32\u0E1A,2017-11-13 12:27:50,2017-11-13 12:27:51,0.208s,PASSED
click,Chrome 62.0.3202.89,\u0E01\u0E14\u0E1B\u0E38\u0E48\u0E21 Predict,2017-11-13 12:27:51,2017-11-13 12:27:51,0.156s,PASSED
verifyElementPresent,Chrome 62.0.3202.89,\u0E15\u0E23\u0E27\u0E08\u0E2A\u0E2D\u0E1A\u0E1C\u0E25\u0E25\u0E31\u0E1E\u0E18\u0E4C Predict ,2017-11-13 12:27:51,2017-11-13 12:28:09,18.512s,PASSED
verifyElementPresent,Chrome 62.0.3202.89,\u0E15\u0E23\u0E27\u0E08\u0E2A\u0E2D\u0E1A\u0E1C\u0E25\u0E25\u0E31\u0E1E\u0E18\u0E4C critical,2017-11-13 12:28:09,2017-11-13 12:28:09,0.077s,PASSED
