Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Basic,Chrome 62.0.3202.89,,2560-11-09 17:12:57,2560-11-09 17:19:55,6m - 58.469s,FAILED
,,,,,,
Test Cases/1. Start Page (without login)/Single Verbatim without login,Chrome 62.0.3202.89,,2560-11-09 17:12:57,2560-11-09 17:13:43,46.200s,PASSED
openBrowser,Chrome 62.0.3202.89,,2560-11-09 17:12:58,2560-11-09 17:13:00,2.205s,PASSED
maximizeWindow,Chrome 62.0.3202.89,,2560-11-09 17:13:00,2560-11-09 17:13:00,0.195s,PASSED
navigateToUrl,Chrome 62.0.3202.89,,2560-11-09 17:13:00,2560-11-09 17:13:04,4.504s,PASSED
click,Chrome 62.0.3202.89,\u0E01\u0E14\u0E1B\u0E38\u0E48\u0E21 Predict,2560-11-09 17:13:04,2560-11-09 17:13:05,0.195s,PASSED
verifyElementPresent,Chrome 62.0.3202.89,\u0E22\u0E37\u0E19\u0E22\u0E31\u0E19\u0E02\u0E49\u0E2D\u0E04\u0E27\u0E32\u0E21\u0E41\u0E08\u0E49\u0E07\u0E40\u0E15\u0E37\u0E2D\u0E19 Verbatim is not null,2560-11-09 17:13:05,2560-11-09 17:13:05,0.079s,PASSED
setText,Chrome 62.0.3202.89,\u0E01\u0E23\u0E2D\u0E01\u0E02\u0E49\u0E2D\u0E04\u0E27\u0E32\u0E21 predict,2560-11-09 17:13:05,2560-11-09 17:13:05,0.312s,PASSED
click,Chrome 62.0.3202.89,\u0E01\u0E14\u0E1B\u0E38\u0E48\u0E21 Predict,2560-11-09 17:13:05,2560-11-09 17:13:05,0.058s,PASSED
verifyElementPresent,Chrome 62.0.3202.89,\u0E15\u0E23\u0E27\u0E08\u0E2A\u0E2D\u0E1A\u0E1C\u0E25\u0E25\u0E31\u0E1E\u0E18\u0E4C Predict ,2560-11-09 17:13:05,2560-11-09 17:13:24,18.620s,PASSED
verifyElementPresent,Chrome 62.0.3202.89,\u0E15\u0E23\u0E27\u0E08\u0E2A\u0E2D\u0E1A\u0E1C\u0E25\u0E25\u0E31\u0E1E\u0E18\u0E4C Predict ,2560-11-09 17:13:24,2560-11-09 17:13:24,0.065s,PASSED
setText,Chrome 62.0.3202.89,\u0E01\u0E23\u0E2D\u0E01\u0E02\u0E49\u0E2D\u0E04\u0E27\u0E32\u0E21 predict \u0E17\u0E35\u0E48\u0E40\u0E1B\u0E47\u0E19\u0E04\u0E33\u0E2B\u0E22\u0E32\u0E1A,2560-11-09 17:13:24,2560-11-09 17:13:24,0.155s,PASSED
click,Chrome 62.0.3202.89,\u0E01\u0E14\u0E1B\u0E38\u0E48\u0E21 Predict,2560-11-09 17:13:24,2560-11-09 17:13:24,0.106s,PASSED
verifyElementPresent,Chrome 62.0.3202.89,\u0E15\u0E23\u0E27\u0E08\u0E2A\u0E2D\u0E1A\u0E1C\u0E25\u0E25\u0E31\u0E1E\u0E18\u0E4C Predict ,2560-11-09 17:13:24,2560-11-09 17:13:43,19.128s,PASSED
verifyElementPresent,Chrome 62.0.3202.89,\u0E15\u0E23\u0E27\u0E08\u0E2A\u0E2D\u0E1A\u0E1C\u0E25\u0E25\u0E31\u0E1E\u0E18\u0E4C critical,2560-11-09 17:13:43,2560-11-09 17:13:43,0.045s,PASSED
closeBrowser,Chrome 62.0.3202.89,,2560-11-09 17:13:43,2560-11-09 17:13:43,0.001s,NOT_RUN
,,,,,,
Test Cases/2. Login/Sign Up,Chrome 62.0.3202.89,,2560-11-09 17:13:43,2560-11-09 17:14:01,17.236s,FAILED
openBrowser,Chrome 62.0.3202.89,\u0E40\u0E1B\u0E34\u0E14\u0E40\u0E1A\u0E23\u0E32\u0E40\u0E0B\u0E2D\u0E23\u0E4C,2560-11-09 17:13:44,2560-11-09 17:13:44,0.002s,NOT_RUN
maximizeWindow,Chrome 62.0.3202.89,\u0E02\u0E22\u0E32\u0E22\u0E2B\u0E19\u0E49\u0E32\u0E15\u0E48\u0E32\u0E07\u0E40\u0E1A\u0E23\u0E32\u0E40\u0E0B\u0E2D\u0E23\u0E4C,2560-11-09 17:13:44,2560-11-09 17:13:44,0.002s,NOT_RUN
navigateToUrl,Chrome 62.0.3202.89,\u0E40\u0E02\u0E49\u0E32\u0E2A\u0E39\u0E48 URL,2560-11-09 17:13:44,2560-11-09 17:13:44,0.002s,NOT_RUN
click,Chrome 62.0.3202.89,\u0E04\u0E25\u0E34\u0E01\u0E1B\u0E38\u0E48\u0E21 Login,2560-11-09 17:13:44,2560-11-09 17:13:44,0.186s,PASSED
scrollToElement,Chrome 62.0.3202.89,\u0E40\u0E25\u0E37\u0E48\u0E2D\u0E19\u0E2B\u0E19\u0E49\u0E32\u0E15\u0E48\u0E32\u0E07\u0E21\u0E32\u0E22\u0E31\u0E07\u0E1B\u0E38\u0E48\u0E21 Sign Up,2560-11-09 17:13:44,2560-11-09 17:13:44,0.072s,PASSED
click,Chrome 62.0.3202.89,\u0E04\u0E25\u0E34\u0E01\u0E1B\u0E38\u0E48\u0E21 Sign Up,2560-11-09 17:13:44,2560-11-09 17:13:44,0.147s,PASSED
Statement - date = new java.util.Date(),Chrome 62.0.3202.89,\u0E40\u0E01\u0E47\u0E1A\u0E40\u0E27\u0E25\u0E32\u0E1B\u0E31\u0E08\u0E38\u0E1A\u0E31\u0E19\u0E02\u0E2D\u0E07\u0E40\u0E04\u0E23\u0E37\u0E48\u0E2D\u0E07,2560-11-09 17:13:44,2560-11-09 17:13:44,0.009s,PASSED
Statement - df = new java.text.SimpleDateFormat(),Chrome 62.0.3202.89,\u0E40\u0E01\u0E47\u0E1A\u0E40\u0E27\u0E25\u0E32\u0E1B\u0E31\u0E08\u0E38\u0E1A\u0E31\u0E19\u0E02\u0E2D\u0E07\u0E40\u0E04\u0E23\u0E37\u0E48\u0E2D\u0E07,2560-11-09 17:13:44,2560-11-09 17:13:44,0.014s,PASSED
