Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Basic,Chrome 62.0.3202.89,,2560-11-09 16:13:43,2560-11-09 16:20:11,6m - 28.580s,FAILED
,,,,,,
Test Cases/1. Start Page (without login)/Single Verbatim without login,Chrome 62.0.3202.89,,2560-11-09 16:13:43,2560-11-09 16:14:31,47.124s,PASSED
openBrowser,Chrome 62.0.3202.89,,2560-11-09 16:13:44,2560-11-09 16:13:47,3.322s,PASSED
maximizeWindow,Chrome 62.0.3202.89,,2560-11-09 16:13:47,2560-11-09 16:13:49,1.183s,PASSED
navigateToUrl,Chrome 62.0.3202.89,,2560-11-09 16:13:49,2560-11-09 16:13:51,2.757s,PASSED
click,Chrome 62.0.3202.89,\u0E01\u0E14\u0E1B\u0E38\u0E48\u0E21 Predict,2560-11-09 16:13:51,2560-11-09 16:13:52,0.347s,PASSED
verifyElementPresent,Chrome 62.0.3202.89,\u0E22\u0E37\u0E19\u0E22\u0E31\u0E19\u0E02\u0E49\u0E2D\u0E04\u0E27\u0E32\u0E21\u0E41\u0E08\u0E49\u0E07\u0E40\u0E15\u0E37\u0E2D\u0E19 Verbatim is not null,2560-11-09 16:13:52,2560-11-09 16:13:52,0.221s,PASSED
setText,Chrome 62.0.3202.89,\u0E01\u0E23\u0E2D\u0E01\u0E02\u0E49\u0E2D\u0E04\u0E27\u0E32\u0E21 predict,2560-11-09 16:13:52,2560-11-09 16:13:53,0.496s,PASSED
click,Chrome 62.0.3202.89,\u0E01\u0E14\u0E1B\u0E38\u0E48\u0E21 Predict,2560-11-09 16:13:53,2560-11-09 16:13:53,0.129s,PASSED
verifyElementPresent,Chrome 62.0.3202.89,\u0E15\u0E23\u0E27\u0E08\u0E2A\u0E2D\u0E1A\u0E1C\u0E25\u0E25\u0E31\u0E1E\u0E18\u0E4C Predict ,2560-11-09 16:13:53,2560-11-09 16:14:11,18.761s,PASSED
verifyElementPresent,Chrome 62.0.3202.89,\u0E15\u0E23\u0E27\u0E08\u0E2A\u0E2D\u0E1A\u0E1C\u0E25\u0E25\u0E31\u0E1E\u0E18\u0E4C Predict ,2560-11-09 16:14:11,2560-11-09 16:14:11,0.099s,PASSED
setText,Chrome 62.0.3202.89,\u0E01\u0E23\u0E2D\u0E01\u0E02\u0E49\u0E2D\u0E04\u0E27\u0E32\u0E21 predict \u0E17\u0E35\u0E48\u0E40\u0E1B\u0E47\u0E19\u0E04\u0E33\u0E2B\u0E22\u0E32\u0E1A,2560-11-09 16:14:11,2560-11-09 16:14:12,0.190s,PASSED
click,Chrome 62.0.3202.89,\u0E01\u0E14\u0E1B\u0E38\u0E48\u0E21 Predict,2560-11-09 16:14:12,2560-11-09 16:14:12,0.171s,PASSED
