Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Basic,Chrome 62.0.3202.89,,2560-11-09 15:23:57,2560-11-09 15:32:27,8m - 30.553s,FAILED
,,,,,,
Test Cases/1. Start Page (without login)/Single Verbatim without login,Chrome 62.0.3202.89,,2560-11-09 15:23:57,2560-11-09 15:25:08,1m - 10.985s,PASSED
openBrowser,Chrome 62.0.3202.89,,2560-11-09 15:23:58,2560-11-09 15:24:02,3.858s,PASSED
maximizeWindow,Chrome 62.0.3202.89,,2560-11-09 15:24:02,2560-11-09 15:24:03,1.296s,PASSED
navigateToUrl,Chrome 62.0.3202.89,,2560-11-09 15:24:03,2560-11-09 15:24:30,26.832s,PASSED
click,Chrome 62.0.3202.89,\u0E01\u0E14\u0E1B\u0E38\u0E48\u0E21 Predict,2560-11-09 15:24:30,2560-11-09 15:24:30,0.205s,PASSED
verifyElementPresent,Chrome 62.0.3202.89,\u0E22\u0E37\u0E19\u0E22\u0E31\u0E19\u0E02\u0E49\u0E2D\u0E04\u0E27\u0E32\u0E21\u0E41\u0E08\u0E49\u0E07\u0E40\u0E15\u0E37\u0E2D\u0E19 Verbatim is not null,2560-11-09 15:24:30,2560-11-09 15:24:30,0.075s,PASSED
setText,Chrome 62.0.3202.89,\u0E01\u0E23\u0E2D\u0E01\u0E02\u0E49\u0E2D\u0E04\u0E27\u0E32\u0E21 predict,2560-11-09 15:24:30,2560-11-09 15:24:31,0.349s,PASSED
click,Chrome 62.0.3202.89,\u0E01\u0E14\u0E1B\u0E38\u0E48\u0E21 Predict,2560-11-09 15:24:31,2560-11-09 15:24:31,0.081s,PASSED
verifyElementPresent,Chrome 62.0.3202.89,\u0E15\u0E23\u0E27\u0E08\u0E2A\u0E2D\u0E1A\u0E1C\u0E25\u0E25\u0E31\u0E1E\u0E18\u0E4C Predict ,2560-11-09 15:24:31,2560-11-09 15:24:49,18.299s,PASSED
verifyElementPresent,Chrome 62.0.3202.89,\u0E15\u0E23\u0E27\u0E08\u0E2A\u0E2D\u0E1A\u0E1C\u0E25\u0E25\u0E31\u0E1E\u0E18\u0E4C Predict ,2560-11-09 15:24:49,2560-11-09 15:24:49,0.113s,PASSED
setText,Chrome 62.0.3202.89,\u0E01\u0E23\u0E2D\u0E01\u0E02\u0E49\u0E2D\u0E04\u0E27\u0E32\u0E21 predict \u0E17\u0E35\u0E48\u0E40\u0E1B\u0E47\u0E19\u0E04\u0E33\u0E2B\u0E22\u0E32\u0E1A,2560-11-09 15:24:49,2560-11-09 15:24:49,0.210s,PASSED
click,Chrome 62.0.3202.89,\u0E01\u0E14\u0E1B\u0E38\u0E48\u0E21 Predict,2560-11-09 15:24:49,2560-11-09 15:24:49,0.196s,PASSED
verifyElementPresent,Chrome 62.0.3202.89,\u0E15\u0E23\u0E27\u0E08\u0E2A\u0E2D\u0E1A\u0E1C\u0E25\u0E25\u0E31\u0E1E\u0E18\u0E4C Predict ,2560-11-09 15:24:49,2560-11-09 15:25:08,18.386s,PASSED
