Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Basic,Chrome 62.0.3202.89,,2017-11-13 12:18:51,2017-11-13 12:23:48,4m - 57.213s,FAILED
,,,,,,
Test Cases/1. Start Page (without login)/Single Verbatim without login,Chrome 62.0.3202.89,,2017-11-13 12:18:51,2017-11-13 12:19:39,47.633s,PASSED
openBrowser,Chrome 62.0.3202.89,,2017-11-13 12:18:52,2017-11-13 12:18:55,3.144s,PASSED
maximizeWindow,Chrome 62.0.3202.89,,2017-11-13 12:18:55,2017-11-13 12:18:56,1.200s,PASSED
navigateToUrl,Chrome 62.0.3202.89,,2017-11-13 12:18:56,2017-11-13 12:18:59,3.079s,PASSED
click,Chrome 62.0.3202.89,\u0E01\u0E14\u0E1B\u0E38\u0E48\u0E21 Predict,2017-11-13 12:18:59,2017-11-13 12:19:00,0.314s,PASSED
verifyElementPresent,Chrome 62.0.3202.89,\u0E22\u0E37\u0E19\u0E22\u0E31\u0E19\u0E02\u0E49\u0E2D\u0E04\u0E27\u0E32\u0E21\u0E41\u0E08\u0E49\u0E07\u0E40\u0E15\u0E37\u0E2D\u0E19 Verbatim is not null,2017-11-13 12:19:00,2017-11-13 12:19:00,0.139s,PASSED
setText,Chrome 62.0.3202.89,\u0E01\u0E23\u0E2D\u0E01\u0E02\u0E49\u0E2D\u0E04\u0E27\u0E32\u0E21 predict,2017-11-13 12:19:00,2017-11-13 12:19:00,0.373s,PASSED
click,Chrome 62.0.3202.89,\u0E01\u0E14\u0E1B\u0E38\u0E48\u0E21 Predict,2017-11-13 12:19:00,2017-11-13 12:19:00,0.112s,PASSED
verifyElementPresent,Chrome 62.0.3202.89,\u0E15\u0E23\u0E27\u0E08\u0E2A\u0E2D\u0E1A\u0E1C\u0E25\u0E25\u0E31\u0E1E\u0E18\u0E4C Predict ,2017-11-13 12:19:00,2017-11-13 12:19:20,19.400s,PASSED
verifyElementPresent,Chrome 62.0.3202.89,\u0E15\u0E23\u0E27\u0E08\u0E2A\u0E2D\u0E1A\u0E1C\u0E25\u0E25\u0E31\u0E1E\u0E18\u0E4C Predict ,2017-11-13 12:19:20,2017-11-13 12:19:20,0.058s,PASSED
setText,Chrome 62.0.3202.89,\u0E01\u0E23\u0E2D\u0E01\u0E02\u0E49\u0E2D\u0E04\u0E27\u0E32\u0E21 predict \u0E17\u0E35\u0E48\u0E40\u0E1B\u0E47\u0E19\u0E04\u0E33\u0E2B\u0E22\u0E32\u0E1A,2017-11-13 12:19:20,2017-11-13 12:19:20,0.153s,PASSED
click,Chrome 62.0.3202.89,\u0E01\u0E14\u0E1B\u0E38\u0E48\u0E21 Predict,2017-11-13 12:19:20,2017-11-13 12:19:20,0.138s,PASSED
verifyElementPresent,Chrome 62.0.3202.89,\u0E15\u0E23\u0E27\u0E08\u0E2A\u0E2D\u0E1A\u0E1C\u0E25\u0E25\u0E31\u0E1E\u0E18\u0E4C Predict ,2017-11-13 12:19:20,2017-11-13 12:19:39,18.779s,PASSED
